	sub	emotion	mapping	intensity	score
9025	11	disgust	Cordaro2008IPC	5	0.8689603308892648
386	11	fear	Cordaro2008IPC	1	0.4779170571696345
2546	11	fear	Cordaro2008IPC	2	0.5402442843720638
4706	11	fear	Cordaro2008IPC	3	0.5196199767035526
6866	11	fear	Cordaro2008IPC	4	0.4881808332512557
9026	11	fear	Cordaro2008IPC	5	0.5380049038585624
387	11	happy	Cordaro2008IPC	1	0.5916753112033194
2547	11	happy	Cordaro2008IPC	2	0.6880630630630631
4707	11	happy	Cordaro2008IPC	3	0.7690693770980978
6867	11	happy	Cordaro2008IPC	4	0.7747658136166102
9027	11	happy	Cordaro2008IPC	5	0.8853544932225135
388	11	sadness	Cordaro2008IPC	1	0.8008739076154806
2548	11	sadness	Cordaro2008IPC	2	0.7084599797365755
4708	11	sadness	Cordaro2008IPC	3	0.7041564792176039
6868	11	sadness	Cordaro2008IPC	4	0.7550103561947548
9028	11	sadness	Cordaro2008IPC	5	0.7759121061359867
389	11	surprise	Cordaro2008IPC	1	0.810858585858586
2549	11	surprise	Cordaro2008IPC	2	0.8659487179487179
4709	11	surprise	Cordaro2008IPC	3	0.8623365017466893
6869	11	surprise	Cordaro2008IPC	4	0.885286222048921
9029	11	surprise	Cordaro2008IPC	5	0.8995435916542474
420	12	anger	Cordaro2008IPC	1	0.606864161849711
2580	12	anger	Cordaro2008IPC	2	0.5913005654632448
4740	12	anger	Cordaro2008IPC	3	0.5539192016739095
6900	12	anger	Cordaro2008IPC	4	0.5970281071294518
9060	12	anger	Cordaro2008IPC	5	0.488814461212059
421	12	disgust	Cordaro2008IPC	1	0.6190414507772022
2581	12	disgust	Cordaro2008IPC	2	0.7603353658536587
4741	12	disgust	Cordaro2008IPC	3	0.7984100794960253
6901	12	disgust	Cordaro2008IPC	4	0.7512943854881944
9061	12	disgust	Cordaro2008IPC	5	0.7110963489768538
422	12	fear	Cordaro2008IPC	1	0.5503773584905661
2582	12	fear	Cordaro2008IPC	2	0.6181633688483004
4742	12	fear	Cordaro2008IPC	3	0.6899902818270165
6902	12	fear	Cordaro2008IPC	4	0.6725625000000001
9062	12	fear	Cordaro2008IPC	5	0.7283828789934624
423	12	happy	Cordaro2008IPC	1	0.61908014571949
2583	12	happy	Cordaro2008IPC	2	0.76875
4743	12	happy	Cordaro2008IPC	3	0.7941475826972011
6903	12	happy	Cordaro2008IPC	4	0.8522871877302256
9063	12	happy	Cordaro2008IPC	5	0.8365989515072083
424	12	sadness	Cordaro2008IPC	1	0.6784944581280787
2584	12	sadness	Cordaro2008IPC	2	0.6296576618537495
4744	12	sadness	Cordaro2008IPC	3	0.6968407861759662
6904	12	sadness	Cordaro2008IPC	4	0.7708275118757735
9064	12	sadness	Cordaro2008IPC	5	0.7855468749999999
425	12	surprise	Cordaro2008IPC	1	0.8001770956316411
2585	12	surprise	Cordaro2008IPC	2	0.7793012772351615
4745	12	surprise	Cordaro2008IPC	3	0.8598413842826244
6905	12	surprise	Cordaro2008IPC	4	0.8859029757662152
9065	12	surprise	Cordaro2008IPC	5	0.8949241781861923
456	13	anger	Cordaro2008IPC	1	0.5147236976982574
2616	13	anger	Cordaro2008IPC	2	0.4524459488971391
4776	13	anger	Cordaro2008IPC	3	0.4761541257724463
6936	13	anger	Cordaro2008IPC	4	0.5224474796349605
9096	13	anger	Cordaro2008IPC	5	0.48648453135926306
457	13	disgust	Cordaro2008IPC	1	0.5632763065385517
2617	13	disgust	Cordaro2008IPC	2	0.7479712858926342
4777	13	disgust	Cordaro2008IPC	3	0.7703441295546559
6937	13	disgust	Cordaro2008IPC	4	0.7872569354420533
9097	13	disgust	Cordaro2008IPC	5	0.8059099548586363
458	13	fear	Cordaro2008IPC	1	0.5274950274950275
2618	13	fear	Cordaro2008IPC	2	0.5580704160951077
4778	13	fear	Cordaro2008IPC	3	0.5538867924528302
6938	13	fear	Cordaro2008IPC	4	0.5437054568662908
9098	13	fear	Cordaro2008IPC	5	0.486287973366625
459	13	happy	Cordaro2008IPC	1	0.7278552971576228
2619	13	happy	Cordaro2008IPC	2	0.7851300748916042
4779	13	happy	Cordaro2008IPC	3	0.7730586485800297
6939	13	happy	Cordaro2008IPC	4	0.831196223509324
9099	13	happy	Cordaro2008IPC	5	0.8555437230708969
460	13	sadness	Cordaro2008IPC	1	0.638539471000204
2620	13	sadness	Cordaro2008IPC	2	0.63551096084633
4780	13	sadness	Cordaro2008IPC	3	0.6484073359073359
6940	13	sadness	Cordaro2008IPC	4	0.6971215074723847
9100	13	sadness	Cordaro2008IPC	5	0.7503754961913959
461	13	surprise	Cordaro2008IPC	1	0.7821126058794221
2621	13	surprise	Cordaro2008IPC	2	0.8228723404255318
4781	13	surprise	Cordaro2008IPC	3	0.8070821529745043
6941	13	surprise	Cordaro2008IPC	4	0.8062795305593657
9101	13	surprise	Cordaro2008IPC	5	0.8282983130297331
492	14	anger	Cordaro2008IPC	1	0.574561403508772
2652	14	anger	Cordaro2008IPC	2	0.5936481280252889
4812	14	anger	Cordaro2008IPC	3	0.6034249662009915
6972	14	anger	Cordaro2008IPC	4	0.663989028213166
9132	14	anger	Cordaro2008IPC	5	0.6421767180925666
493	14	disgust	Cordaro2008IPC	1	0.7114190687361419
2653	14	disgust	Cordaro2008IPC	2	0.7704481792717087
4813	14	disgust	Cordaro2008IPC	3	0.8506256930144147
6973	14	disgust	Cordaro2008IPC	4	0.8460402262727844
9133	14	disgust	Cordaro2008IPC	5	0.7594470186253536
494	14	fear	Cordaro2008IPC	1	0.461978055470893
2654	14	fear	Cordaro2008IPC	2	0.5860437925170068
4814	14	fear	Cordaro2008IPC	3	0.5329064477848101
6974	14	fear	Cordaro2008IPC	4	0.5785920247556087
