	sub	emotion	tk	intensity	score
193	07	disgust	Keltner2019	1	0.5651533018867924
194	07	fear	Keltner2019	1	0.45689655172413796
195	07	happy	Keltner2019	1	0.434757053291536
196	07	sadness	Keltner2019	1	0.6569069069069069
197	07	surprise	Keltner2019	1	0.760748959778086
198	07	anger	Cordaro2008ref	1	0.5093619972260749
199	07	disgust	Cordaro2008ref	1	0.5512971698113207
200	07	fear	Cordaro2008ref	1	0.4612068965517242
201	07	happy	Cordaro2008ref	1	0.4813871473354233
202	07	sadness	Cordaro2008ref	1	0.30330330330330324
203	07	surprise	Cordaro2008ref	1	0.8654646324549238
204	07	anger	Ekman	1	0.5371012482662968
205	07	disgust	Ekman	1	0.5421580188679246
206	07	fear	Ekman	1	0.581896551724138
207	07	happy	Ekman	1	0.4968652037617556
208	07	sadness	Ekman	1	0.5262762762762763
209	07	surprise	Ekman	1	0.8762135922330098
210	08	anger	Darwin	1	0.518530701754386
211	08	disgust	Darwin	1	0.5239172592113768
212	08	fear	Darwin	1	0.7460664335664335
213	08	happy	Darwin	1	0.595028067361668
214	08	sadness	Darwin	1	0.5507111935683364
215	08	surprise	Darwin	1	0.7762237762237763
216	08	anger	Matsumoto2008	1	0.5737938596491228
217	08	disgust	Matsumoto2008	1	0.5471881060116355
218	08	fear	Matsumoto2008	1	0.6003787878787878
219	08	happy	Matsumoto2008	1	0.6081261694734029
220	08	sadness	Matsumoto2008	1	0.5875077303648732
221	08	surprise	Matsumoto2008	1	0.8184149184149184
222	08	anger	Keltner2019	1	0.499780701754386
223	08	disgust	Keltner2019	1	0.4645550527903469
224	08	fear	Keltner2019	1	0.583916083916084
225	08	happy	Keltner2019	1	0.5519914461373965
226	08	sadness	Keltner2019	1	0.5238095238095238
227	08	surprise	Keltner2019	1	0.7226107226107227
228	08	anger	Cordaro2008ref	1	0.5785087719298245
229	08	disgust	Cordaro2008ref	1	0.5582848524024995
230	08	fear	Cordaro2008ref	1	0.5147144522144521
231	08	happy	Cordaro2008ref	1	0.5543972199946539
232	08	sadness	Cordaro2008ref	1	0.5810142238713667
233	08	surprise	Cordaro2008ref	1	0.7813519813519814
234	08	anger	Ekman	1	0.6104166666666666
235	08	disgust	Ekman	1	0.5137901314371902
236	08	fear	Ekman	1	0.6124708624708624
237	08	happy	Ekman	1	0.6345896819032345
238	08	sadness	Ekman	1	0.6193568336425479
239	08	surprise	Ekman	1	0.8249417249417249
240	09	anger	Darwin	1	0.4691241594226669
241	09	disgust	Darwin	1	0.5343137254901962
242	09	fear	Darwin	1	0.5032948185593067
243	09	happy	Darwin	1	0.6269346733668342
244	09	sadness	Darwin	1	0.5165903890160183
245	09	surprise	Darwin	1	0.8607142857142857
246	09	anger	Matsumoto2008	1	0.5830736427751353
247	09	disgust	Matsumoto2008	1	0.5428797781738958
248	09	fear	Matsumoto2008	1	0.5580429680447734
249	09	happy	Matsumoto2008	1	0.6706030150753768
250	09	sadness	Matsumoto2008	1	0.5963386727688786
251	09	surprise	Matsumoto2008	1	0.8770408163265306
252	09	anger	Keltner2019	1	0.5494505494505495
253	09	disgust	Keltner2019	1	0.43825510001980594
254	09	fear	Keltner2019	1	0.5845369200216647
255	09	happy	Keltner2019	1	0.5730150753768845
256	09	sadness	Keltner2019	1	0.6042334096109839
257	09	surprise	Keltner2019	1	0.883673469387755
258	09	anger	Cordaro2008ref	1	0.5433409873708381
259	09	disgust	Cordaro2008ref	1	0.5676866706278471
260	09	fear	Cordaro2008ref	1	0.5612475176024553
261	09	happy	Cordaro2008ref	1	0.6061809045226131
262	09	sadness	Cordaro2008ref	1	0.5178489702517162
